# Simulation 1 (Up to date)
# 1008 data points written for 6 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (41,6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Vitesse totale (m/s),Taux de roulis (°/s),Moment d'inertie longitudinale (kg·m²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,-4.3591,0,0,3.7186
0.01,0,5.9166,0,0,3.7186
0.02,2.9596e-4,16.199,0.060112,0,3.718
0.03,0.0016981,26.486,0.22465,0,3.7174
0.04,0.0052351,36.778,0.49367,0,3.7168
0.05,0.011936,47.076,0.86723,0,3.7162
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.022831,57.378,1.3454,0,3.7156
0.07,0.03895,67.684,1.9281,0,3.715
0.08,0.061323,77.996,2.6156,0,3.7145
0.09,0.090981,88.312,3.4077,0,3.7139
0.1,0.12896,93.393,4.3047,0,3.7133
0.11,0.17602,93.248,5.2533,0,3.7124
0.12,0.23242,93.116,6.2006,0,3.7112
0.13,0.29814,92.983,7.1465,0,3.71
0.14,0.37317,92.85,8.0911,0,3.7088
0.15,0.4575,92.717,9.0343,0,3.7076
0.16,0.55111,92.583,9.9762,0,3.7064
0.17,0.65398,92.449,10.917,0,3.7052
0.18,0.76612,92.315,11.856,0,3.7041
0.19,0.88749,92.18,12.794,0,3.7029
0.2,1.0181,92.224,13.73,0,3.7017
0.21,1.1579,92.447,14.667,0,3.7005
0.22,1.307,92.67,15.606,0,3.6993
0.23,1.4653,92.893,16.547,0,3.6981
0.24,1.6329,93.116,17.491,0,3.6969
0.25,1.8098,93.338,18.437,0,3.6957
0.26,1.9961,93.561,19.385,0,3.6945
0.27,2.1917,93.783,20.336,0,3.6933
0.28,2.3966,94.004,21.288,0,3.6921
0.29,2.611,94.226,22.243,0,3.6909
0.3,2.8347,94.334,23.2,0,3.6897
0.31,3.0679,94.329,24.159,0,3.6885
0.32,3.3106,94.323,25.117,0,3.6873
0.33,3.5626,94.318,26.075,0,3.686
0.34,3.8241,94.311,27.033,0,3.6848
